Name,Sex,Age,10th,12th,Stream,IQ,General Test Score,Skill1,Skill2,Skill3,Skill4,Competetive Exam,Suggested Career
ISHITA GARG,Female,20,76,98,Biology,132,80.4,Curriculum Development,Data Analysis,Discipline,Teaching,Yes,Teacher/Educator
ASHISH VERMA,Female,20,75,89,Arts,140,55.8,Team Management,Teaching,Curriculum Development,Mathematics,No,Teacher/Educator
ASHISH VERMA,Female,20,75,89,Arts,140,55.8,Team Management,Teaching,Curriculum Development,Mathematics,No,Teacher/Educator
SHAILJA SHARMA,Male,17,72,91,Biology,129,61.3,Food Presentation,Photography,Determination,Leadership,No,Teacher/Educator
KARA TERRY,Male,20,90,85,Biology,89,51.0,Empathy,Logical Thinking,Programming,Attention to Detail,No,Doctor
CHINMAY RATHEE,Female,20,92,98,Arts,82,93.4,Sculpting,Subject Knowledge,Sports Skills,Classroom Management,Yes,Teacher/Educator
ASHISH KUMAR,Female,18,92,90,Arts,134,75.8,Mathematics,Painting,Endurance,Menu Planning,No,Artist
Meenakshi  Devi,Male,20,93,87,Commerce,93,57.0,Analytical Skills,Music,Empathy,Sports Skills,No,No suitable match
SHEHRYAR  EDIBAM,Male,17,93,97,Maths,109,68.7,Team Management,Painting,Menu Planning,Mathematics,No,Software Developer
VISHVENDER TANWAR,Female,17,87,84,Biology,131,72.1,Painting,Endurance,Photography,Curriculum Development,No,No suitable match
KIRANDEEP KAUR,Male,17,82,94,Commerce,100,83.3,Team Management,Sports Skills,Teaching,Mathematics,Yes,Software Developer
MANAS SHERRY,Female,18,75,92,Arts,114,83.9,Painting,Painting,Sculpting,Photography,Yes,Artist
HARPREET SINGH,Male,18,91,78,Biology,121,78.4,Sports Skills,Cooking,Critical Thinking,Problem Solving,Yes,Doctor
MANJEET SINGH,Male,19,81,86,Maths,117,68.8,Patient Care,Discipline,Menu Planning,Programming,No,Software Developer
CHINMAY RATHEE,Female,20,92,98,Arts,82,93.4,Sculpting,Subject Knowledge,Sports Skills,Classroom Management,Yes,Teacher/Educator
SAHIL YADAV,Female,18,97,79,Biology,97,81.7,Physical Fitness,Analytical Skills,Endurance,Physical Fitness,Yes,No suitable match
KUNAL KAUSHIK ,Female,17,71,89,Maths,125,60.5,Sports Skills,Sculpting,Public Speaking,Sculpting,No,Teacher/Educator
HARDEEP SINGH,Male,17,93,78,Commerce,87,58.2,Drawing,Drawing,Patient Care,Discipline,No,No suitable match
GIRISHA JAIN,Male,18,99,84,Maths,119,97.4,Sports Skills,Mathematics,Creativity,Art,Yes,Software Developer
ZAHIDULLAH  HEMAT,Male,18,95,77,Maths,124,82.2,Art,Menu Planning,Menu Planning,Art,Yes,No suitable match
SHEETAL RANI,Male,18,86,90,Maths,136,90.6,Painting,Menu Planning,Subject Knowledge,Menu Planning,Yes,Teacher/Educator
SHAANJIT SINGH,Male,19,91,89,Commerce,102,62.4,Sports Skills,Leadership,Cooking,Discipline,No,No suitable match
Eknoor Kaur,Male,17,72,94,Arts,124,88.9,Empathy,Endurance,Mathematics,Critical Thinking,Yes,No suitable match
KAPIL ATTRI,Female,19,75,97,Arts,136,72.8,Teaching,Classroom Management,Analytical Skills,Subject Knowledge,No,Teacher/Educator
NIHARIKA THAKUR,Male,19,82,90,Arts,134,85.5,Endurance,Photography,Teaching,Creativity,Yes,Artist
Shivangi Kalia,Male,20,88,85,Maths,91,86.1,Subject Knowledge,Medical Knowledge,Sculpting,Discipline,Yes,Teacher/Educator
SANSKRITI PRATIK,Male,17,82,96,Maths,93,56.3,Coding,Curriculum Development,Mathematics,Analytical Skills,No,Software Developer
Satvick Verma,Male,17,89,80,Maths,112,77.1,Food Presentation,Programming,Problem Solving,Public Speaking,No,Software Developer
JYOTI,Female,18,82,99,Biology,139,89.6,Programming,Determination,Sculpting,Endurance,Yes,No suitable match
RAJNI,Male,18,89,83,Commerce,104,94.9,Coding,Attention to Detail,Painting,Food Presentation,Yes,No suitable match
Sachin Sharma,Male,20,93,83,Biology,127,85.3,Coding,Food Presentation,Curriculum Development,Subject Knowledge,Yes,Teacher/Educator
DECHEN WANGMO,Male,19,94,82,Maths,128,70.4,Medical Knowledge,Sports Skills,Menu Planning,Menu Planning,No,No suitable match
KAMALESH YADAV,Female,18,74,95,Maths,91,87.2,Mathematics,Baking,Art,Analytical Skills,Yes,Scientist/Researcher
TANVEER SINGH,Male,18,91,93,Commerce,124,66.9,Public Speaking,Classroom Management,Baking,Classroom Management,No,Teacher/Educator
SAKSHAM,Female,17,90,79,Biology,137,73.3,Cooking,Leadership,Public Speaking,Critical Thinking,No,Teacher/Educator
YASHIKA SAINI,Male,17,75,85,Biology,131,77.0,Programming,Teaching,Medical Knowledge,Programming,No,Teacher/Educator
AKSHITA,Female,18,75,82,Commerce,115,98.4,Logical Thinking,Art,Research,Physical Fitness,Yes,No suitable match
LOVEDEEP SINGH,Male,17,72,81,Commerce,140,50.2,Physical Fitness,Team Management,Music,Team Management,No,Software Developer
ZIGGYASA,Female,20,88,81,Maths,107,86.9,Sculpting,Baking,Food Presentation,Empathy,Yes,No suitable match
DIPAK NATH,Female,18,71,76,Biology,138,97.9,Critical Thinking,Determination,Coding,Problem Solving,Yes,Doctor
MEHAK SETHI,Female,17,70,78,Arts,115,76.1,Classroom Management,Physical Fitness,Determination,Endurance,No,Teacher/Educator
ANANDHA KRISHNAN U,Female,20,92,83,Maths,95,86.8,Photography,Public Speaking,Painting,Curriculum Development,Yes,Teacher/Educator
ADITYA VINAYAK,Female,17,71,88,Maths,113,98.6,Empathy,Empathy,Painting,Teaching,Yes,Teacher/Educator
RAJDEEP,Female,17,89,85,Biology,111,59.7,Discipline,Endurance,Baking,Classroom Management,No,No suitable match
ELISETTI SANJAY KUMAR,Male,17,71,95,Maths,106,85.0,Research,Teaching,Food Presentation,Classroom Management,Yes,Teacher/Educator
SWATI SHARMA,Female,18,94,94,Biology,98,88.8,Sports Skills,Art,Medical Knowledge,Endurance,Yes,No suitable match
Abhishek Bharti,Female,19,82,78,Maths,128,63.7,Menu Planning,Physical Fitness,Determination,Public Speaking,No,No suitable match
YUKTA SHARMA,Female,17,93,93,Commerce,94,86.5,Logical Thinking,Programming,Team Management,Programming,Yes,Software Developer
SHOUVIK DAS,Female,20,84,92,Commerce,105,73.0,Sculpting,Determination,Endurance,Analytical Skills,No,No suitable match
YASHIKA TALWAR,Male,18,86,92,Arts,131,52.7,Research,Sports Skills,Menu Planning,Teaching,No,Teacher/Educator
SURAJ BAHADUR THAPA,Female,18,86,78,Biology,130,97.7,Endurance,Mathematics,Baking,Programming,Yes,No suitable match
ANSHITA SHARMA,Male,20,97,75,Maths,122,69.6,Medical Knowledge,Mathematics,Coding,Public Speaking,No,Software Developer
Shambhavi,Female,17,92,95,Maths,131,93.2,Patient Care,Menu Planning,Painting,Team Management,Yes,Software Developer
SARTHAK,Male,19,85,86,Biology,98,71.1,Critical Thinking,Food Presentation,Creativity,Teaching,No,No suitable match
MEHAK CHAUHAN,Female,17,85,83,Maths,114,84.5,Attention to Detail,Empathy,Baking,Empathy,Yes,No suitable match
NINGOMBAM ELTON,Female,20,82,97,Maths,81,51.5,Determination,Baking,Cooking,Leadership,No,No suitable match
Sahil,Female,18,73,75,Biology,112,66.2,Leadership,Music,Attention to Detail,Team Management,No,Teacher/Educator
MEHAK BUDHIRAJA,Male,19,73,97,Arts,113,52.7,Photography,Art,Patient Care,Attention to Detail,No,Artist
APURAV SHARMA,Male,18,93,99,Maths,84,79.1,Creativity,Classroom Management,Data Analysis,Programming,Yes,Software Developer
YOGESH,Female,20,89,86,Maths,117,95.5,Painting,Sculpting,Sculpting,Empathy,Yes,No suitable match
TARUN,Male,17,94,97,Biology,83,52.0,Data Analysis,Patient Care,Food Presentation,Photography,No,Scientist/Researcher
SAVARKAR HERAMB MAKRAND ,Male,19,71,93,Commerce,83,60.0,Programming,Problem Solving,Food Presentation,Public Speaking,No,Software Developer
SANJANA DUA,Female,18,99,92,Maths,80,67.5,Photography,Endurance,Data Analysis,Public Speaking,No,Scientist/Researcher
SHAKSHI RANA,Male,18,87,99,Commerce,114,83.1,Creativity,Creativity,Mathematics,Empathy,Yes,Software Developer
MANPREET KAUR,Female,18,79,99,Biology,97,59.0,Patient Care,Music,Coding,Discipline,No,Doctor
Arshad Ahamad,Male,17,96,87,Maths,125,68.2,Art,Music,Teaching,Endurance,No,Doctor
DHEERAJ G LAKHANI,Male,19,72,83,Biology,139,93.1,Research,Sculpting,Discipline,Critical Thinking,Yes,Scientist/Researcher
PRIYANSHU,Female,17,92,99,Biology,83,86.1,Classroom Management,Logical Thinking,Physical Fitness,Cooking,Yes,Scientist/Researcher
PRIYANKA  PRASAD,Female,17,87,93,Arts,94,73.1,Leadership,Sculpting,Problem Solving,Cooking,No,Artist
Vikas jakhar,Female,17,93,94,Maths,124,72.1,Problem Solving,Curriculum Development,Painting,Public Speaking,No,Teacher/Educator
PRIYA,Male,20,89,84,Biology,118,56.3,Coding,Discipline,Baking,Problem Solving,No,Athlete
VARSHA SHARMA,Female,20,97,76,Biology,92,64.1,Analytical Skills,Empathy,Public Speaking,Public Speaking,No,Scientist/Researcher
ANURAG SINGH,Female,20,70,95,Maths,126,98.2,Sculpting,Medical Knowledge,Art,Food Presentation,Yes,No suitable match
PRANJAL SRIVASTAVA,Male,19,70,97,Maths,107,97.4,Attention to Detail,Art,Baking,Creativity,Yes,No suitable match
ITHAMSETTY PRAVALLIKA,Female,17,97,76,Arts,130,75.4,Public Speaking,Music,Analytical Skills,Patient Care,No,Artist
NIVEDITA  DUTTA,Female,17,79,92,Maths,103,78.0,Determination,Programming,Leadership,Programming,Yes,Software Developer
DIMPLE CHOUDHARY,Male,20,93,87,Maths,92,85.0,Attention to Detail,Cooking,Logical Thinking,Empathy,Yes,No suitable match
PERUMANDLA Sri Harsha,Female,17,90,82,Biology,135,88.0,Teaching,Medical Knowledge,Cooking,Sculpting,Yes,Teacher/Educator
Ashish Dhull,Male,17,75,95,Commerce,124,60.4,Drawing,Cooking,Art,Sports Skills,No,No suitable match
Aniket Sharma,Female,18,90,92,Commerce,97,84.3,Creativity,Painting,Drawing,Photography,Yes,Artist
PRASUN SARKAR,Male,17,74,79,Commerce,102,85.6,Problem Solving,Food Presentation,Classroom Management,Attention to Detail,Yes,No suitable match
ADITYA JOSHI,Male,18,99,82,Biology,129,62.4,Coding,Empathy,Subject Knowledge,Logical Thinking,No,No suitable match
GURLEEN KAUR,Male,17,96,83,Maths,102,63.6,Logical Thinking,Creativity,Drawing,Teaching,No,Software Developer
TANZEER KHAN,Male,19,74,79,Commerce,91,67.7,Logical Thinking,Leadership,Baking,Critical Thinking,No,Software Developer
GURUMAYUM BIKASH SHARMA,Female,20,75,87,Maths,115,84.2,Mathematics,Painting,Baking,Determination,Yes,Software Developer
UNNATI BIHANI,Female,18,71,78,Maths,95,84.5,Teaching,Attention to Detail,Classroom Management,Cooking,Yes,Teacher/Educator
NEHA BHALLA,Male,20,87,83,Maths,135,84.3,Art,Endurance,Discipline,Coding,Yes,No suitable match
NANCY ARORA,Male,18,85,93,Maths,109,61.8,Sculpting,Empathy,Public Speaking,Attention to Detail,No,No suitable match
RIYA THAKUR,Female,18,70,80,Biology,96,71.6,Creativity,Public Speaking,Curriculum Development,Data Analysis,No,Teacher/Educator
ABHINAV CHOWDHURY,Male,18,76,77,Maths,84,54.6,Painting,Leadership,Mathematics,Menu Planning,No,Software Developer
KHUSHMEEN KAUR,Male,19,70,80,Biology,102,57.4,Music,Patient Care,Art,Menu Planning,No,No suitable match
MONEY NAGPAL,Female,17,82,82,Maths,80,97.4,Mathematics,Coding,Photography,Patient Care,Yes,Software Developer
ANKIT MEHRA,Male,18,95,99,Maths,100,70.1,Painting,Photography,Endurance,Empathy,No,No suitable match
HARSH RAMAN,Male,19,79,99,Maths,140,52.9,Sports Skills,Sports Skills,Drawing,Problem Solving,No,Software Developer
ALISHA KAMBOJ,Female,18,85,86,Biology,95,53.1,Sports Skills,Painting,Endurance,Menu Planning,No,Artist
MANSI,Female,17,83,90,Commerce,137,55.6,Programming,Research,Coding,Food Presentation,No,Software Developer
DIPTIRTHA CHATTERJEE,Female,18,93,97,Maths,133,69.7,Critical Thinking,Public Speaking,Team Management,Patient Care,No,No suitable match
DEV KUMAR KACCHAWAHA,Male,19,92,99,Commerce,136,92.0,Programming,Discipline,Patient Care,Sports Skills,Yes,Scientist/Researcher
Smile,Male,17,76,99,Maths,86,60.5,Team Management,Critical Thinking,Patient Care,Drawing,No,Artist
SIMRANJEET KAUR,Male,19,85,85,Commerce,129,54.8,Mathematics,Subject Knowledge,Problem Solving,Public Speaking,No,Software Developer
SHOUVIK DAS,Female,17,84,92,Commerce,105,73.0,Sculpting,Determination,Endurance,Analytical Skills,No,Athlete
DIMPLE,Male,17,72,88,Biology,81,71.1,Drawing,Cooking,Patient Care,Baking,No,No suitable match
MADHAV SINGH CHIB,Male,20,94,88,Maths,109,58.9,Public Speaking,Coding,Sports Skills,Problem Solving,No,Software Developer
HEMANT,Female,20,90,89,Biology,119,70.4,Food Presentation,Classroom Management,Subject Knowledge,Classroom Management,No,Teacher/Educator
SHIVANI,Male,20,70,89,Commerce,133,78.6,Critical Thinking,Logical Thinking,Data Analysis,Data Analysis,Yes,Teacher/Educator
SUHANI SINGH,Female,17,97,88,Maths,126,68.2,Creativity,Classroom Management,Discipline,Patient Care,No,Teacher/Educator
ANMOL SINGH,Female,18,72,99,Maths,104,96.3,Physical Fitness,Mathematics,Music,Analytical Skills,Yes,Scientist/Researcher
Uravashi bhadu,Male,19,84,82,Biology,120,91.8,Public Speaking,Mathematics,Creativity,Art,Yes,Scientist/Researcher
SUVIDHA SEHRAWAT,Female,19,83,91,Commerce,104,67.8,Curriculum Development,Programming,Menu Planning,Medical Knowledge,No,Software Developer
ISHITA CHOPRA,Female,19,82,88,Biology,104,70.6,Photography,Programming,Sports Skills,Classroom Management,No,Teacher/Educator
RITURAJ RAMAN,Male,20,89,77,Biology,114,93.9,Music,Team Management,Teaching,Endurance,Yes,Teacher/Educator
YASHVI,Male,17,96,87,Arts,137,97.6,Sports Skills,Cooking,Sports Skills,Determination,Yes,No suitable match
ABHIMANYU SHARMA,Male,20,83,76,Biology,89,65.5,Critical Thinking,Team Management,Food Presentation,Public Speaking,No,Teacher/Educator
SACHIN KUMAR,Female,18,75,77,Maths,137,94.1,Medical Knowledge,Patient Care,Leadership,Menu Planning,Yes,No suitable match
ABHIMANYU SHARMA,Male,17,83,76,Biology,89,65.5,Critical Thinking,Team Management,Food Presentation,Public Speaking,No,Teacher/Educator
PRIYA,Male,19,89,84,Arts,139,94.8,Mathematics,Subject Knowledge,Teaching,Baking,Yes,Teacher/Educator
Manas Kumar rupani,Female,20,71,95,Arts,108,73.2,Music,Mathematics,Team Management,Sports Skills,No,No suitable match
MIR MUAVIZ SALEEM,Male,20,74,90,Arts,112,50.1,Programming,Endurance,Teaching,Curriculum Development,No,Teacher/Educator
TANISHKA BURMAN,Male,18,73,92,Maths,117,57.4,Photography,Patient Care,Logical Thinking,Mathematics,No,Software Developer
PUSPANJALI KUMARI,Male,18,71,93,Maths,87,55.5,Team Management,Sports Skills,Subject Knowledge,Curriculum Development,No,Teacher/Educator
Vishwas shira,Male,20,85,94,Maths,109,77.9,Coding,Menu Planning,Curriculum Development,Mathematics,Yes,Software Developer
ABHISHEK RAJ,Male,18,93,76,Commerce,94,83.9,Mathematics,Leadership,Sculpting,Sports Skills,Yes,Software Developer
SHARMA VIBHUTI,Male,19,84,91,Maths,111,54.4,Cooking,Team Management,Patient Care,Sculpting,No,Software Developer
Ashutosh Panchal,Female,18,80,86,Maths,81,99.1,Creativity,Creativity,Patient Care,Mathematics,Yes,Software Developer
Rajat Malik,Male,18,99,78,Maths,128,57.0,Sculpting,Menu Planning,Logical Thinking,Curriculum Development,No,Software Developer
ANURAG KUKREJA,Female,20,95,83,Commerce,89,96.7,Teaching,Food Presentation,Photography,Food Presentation,Yes,Teacher/Educator
SHALINI GARG,Female,20,99,92,Biology,104,77.2,Music,Teaching,Determination,Analytical Skills,Yes,Scientist/Researcher
BIBHUPRASAD NAYAK,Female,17,81,90,Maths,99,53.7,Analytical Skills,Cooking,Endurance,Coding,No,Software Developer
ANKIT MEHRA,Male,17,95,99,Maths,100,70.1,Painting,Photography,Endurance,Empathy,No,Doctor
SAKSHI ARORA,Male,20,84,81,Maths,123,53.2,Sports Skills,Curriculum Development,Curriculum Development,Painting,No,Teacher/Educator
MEHAK SETHI,Female,18,70,78,Arts,115,76.1,Classroom Management,Physical Fitness,Determination,Endurance,No,No suitable match
MEGHA LABBY,Male,18,93,98,Maths,128,57.6,Food Presentation,Leadership,Logical Thinking,Sculpting,No,Software Developer
SUPRADEEP SAMANTA,Female,17,97,76,Arts,112,93.9,Teaching,Sculpting,Logical Thinking,Art,Yes,Artist
LAKSHAY ,Female,17,93,97,Biology,123,94.5,Endurance,Baking,Problem Solving,Programming,Yes,No suitable match
YARA CRISTINA ELIAS CUAMBE,Male,17,76,93,Commerce,93,74.8,Data Analysis,Creativity,Sculpting,Determination,No,Athlete
Ria potan,Male,19,82,96,Arts,111,72.5,Team Management,Subject Knowledge,Leadership,Problem Solving,No,Teacher/Educator
REETIKA,Male,19,91,84,Maths,116,88.1,Analytical Skills,Food Presentation,Medical Knowledge,Painting,Yes,Scientist/Researcher
BUNTY KUMAR,Male,17,98,93,Commerce,110,55.9,Empathy,Creativity,Menu Planning,Sports Skills,No,No suitable match
TUSHAR SHARMA,Male,18,92,90,Maths,110,88.5,Menu Planning,Discipline,Music,Mathematics,Yes,Software Developer
MAANIK SHARMA,Male,17,90,77,Maths,85,58.7,Creativity,Menu Planning,Attention to Detail,Analytical Skills,No,Scientist/Researcher
KARAN SINGLA,Male,19,76,80,Biology,82,64.9,Curriculum Development,Programming,Baking,Art,No,Teacher/Educator
ROHIT YADAV ,Female,18,77,90,Maths,133,96.3,Painting,Physical Fitness,Analytical Skills,Physical Fitness,Yes,Scientist/Researcher
PRITPAL SINGH,Female,19,85,98,Maths,98,55.0,Menu Planning,Subject Knowledge,Teaching,Problem Solving,No,Teacher/Educator
TRISHA,Female,18,81,89,Commerce,80,97.7,Coding,Mathematics,Discipline,Endurance,Yes,Software Developer
NIKHIL MANAN,Male,19,70,80,Maths,92,81.9,Mathematics,Medical Knowledge,Mathematics,Critical Thinking,Yes,No suitable match
HARSIMRAN SINGH,Male,18,75,84,Maths,117,65.2,Team Management,Discipline,Research,Drawing,No,Software Developer
RISHABH RAJ,Female,18,97,77,Biology,139,58.8,Mathematics,Photography,Logical Thinking,Food Presentation,No,Scientist/Researcher
RIYA,Female,18,78,97,Arts,80,65.8,Cooking,Critical Thinking,Photography,Mathematics,No,Artist
ISHA EVE ,Male,18,76,97,Commerce,124,95.2,Painting,Subject Knowledge,Painting,Food Presentation,Yes,Teacher/Educator
GIA ANAGA BRAMARAMBA MOKSHAGUNDAM,Male,20,72,97,Biology,90,90.3,Analytical Skills,Determination,Data Analysis,Sculpting,Yes,Scientist/Researcher
PALAK KAPOOR,Female,19,90,91,Arts,88,80.0,Creativity,Programming,Teaching,Logical Thinking,Yes,No suitable match
ANKIT DALAL,Female,19,71,96,Biology,137,89.4,Photography,Baking,Teaching,Drawing,Yes,Teacher/Educator
DEEPAK,Male,20,94,86,Maths,134,63.6,Attention to Detail,Classroom Management,Physical Fitness,Teaching,No,Teacher/Educator
YASH THAKUR,Male,18,92,76,Biology,88,64.9,Research,Sports Skills,Logical Thinking,Classroom Management,No,Scientist/Researcher
PAWAN KUMAR,Female,18,96,77,Commerce,90,64.2,Art,Creativity,Public Speaking,Food Presentation,No,No suitable match
SWETA KUMARI TIWARI,Female,19,80,82,Biology,121,63.3,Patient Care,Art,Painting,Mathematics,No,No suitable match
Neha tripathi,Male,20,80,90,Maths,85,72.5,Public Speaking,Logical Thinking,Subject Knowledge,Photography,No,Teacher/Educator
Hrithik Raushan,Male,18,98,78,Biology,133,65.9,Photography,Art,Sculpting,Research,No,No suitable match
MAANVIRENDER SIHAG,Female,18,77,90,Arts,92,78.2,Cooking,Subject Knowledge,Creativity,Leadership,Yes,Teacher/Educator
CHHAVI RAJPUT,Male,18,72,82,Biology,119,59.3,Endurance,Creativity,Creativity,Determination,No,No suitable match
GAGAN DEEP SINGH,Male,17,95,88,Arts,130,88.4,Analytical Skills,Drawing,Creativity,Discipline,Yes,Artist
MONEY NAGPAL,Female,20,82,82,Maths,80,97.4,Mathematics,Coding,Photography,Patient Care,Yes,Software Developer
ARSH KAPOOR,Male,18,95,79,Commerce,114,80.4,Coding,Analytical Skills,Coding,Painting,Yes,Software Developer
DAKSH ANAND,Male,17,82,96,Commerce,106,95.3,Classroom Management,Drawing,Logical Thinking,Sports Skills,Yes,Software Developer
RUTENDO VIOLET MAJAYA,Female,20,86,97,Biology,118,50.3,Team Management,Drawing,Menu Planning,Determination,No,Scientist/Researcher
DIVYA JANDIAL,Male,18,80,94,Commerce,139,69.1,Research,Data Analysis,Empathy,Analytical Skills,No,Teacher/Educator
KANIKA PANDIT ,Female,19,93,75,Biology,120,97.4,Public Speaking,Logical Thinking,Teaching,Empathy,Yes,Teacher/Educator
AYUSH MEHTA,Male,17,88,99,Maths,122,79.1,Coding,Team Management,Research,Food Presentation,Yes,Software Developer
UTKARSH VISHWAKARMA,Male,17,82,98,Biology,118,92.3,Team Management,Endurance,Creativity,Public Speaking,Yes,Teacher/Educator
SHARMA VIBHUTI,Male,18,84,91,Maths,111,54.4,Cooking,Team Management,Patient Care,Sculpting,No,Software Developer
TANIYA SINGH,Male,18,88,87,Maths,125,85.5,Creativity,Leadership,Team Management,Music,Yes,Software Developer
NAVDEEP SINGH,Male,17,99,84,Maths,134,77.3,Photography,Painting,Baking,Programming,Yes,No suitable match
MD MAHADY HASAN,Male,19,97,98,Biology,125,92.9,Music,Physical Fitness,Medical Knowledge,Sculpting,Yes,No suitable match
AYUSHI RAJPUT,Male,19,85,98,Arts,93,73.7,Determination,Photography,Analytical Skills,Music,No,Artist
ANJANA GUPTA,Female,20,96,86,Biology,110,68.6,Curriculum Development,Creativity,Medical Knowledge,Classroom Management,No,Teacher/Educator
SHIVANI THAKUR,Male,18,94,97,Arts,86,52.8,Classroom Management,Mathematics,Medical Knowledge,Logical Thinking,No,No suitable match
HARSH SAHNI,Female,19,93,79,Arts,97,52.9,Classroom Management,Curriculum Development,Problem Solving,Mathematics,No,Teacher/Educator
TARIQ ABUBAKAR ALLY,Female,20,87,92,Biology,132,86.2,Sculpting,Research,Subject Knowledge,Curriculum Development,Yes,Teacher/Educator
S M  NEYAZ  AHMAD,Female,19,83,82,Biology,108,80.5,Analytical Skills,Painting,Research,Programming,Yes,Scientist/Researcher
KARAN SHORY,Female,18,94,77,Maths,92,71.3,Physical Fitness,Photography,Public Speaking,Logical Thinking,No,Software Developer
KHUSHI TAK,Female,20,92,95,Maths,90,79.2,Endurance,Data Analysis,Team Management,Physical Fitness,Yes,No suitable match
DIVYANSH JAIN,Male,20,88,85,Biology,100,58.0,Creativity,Music,Attention to Detail,Patient Care,No,Doctor
ANKIT KUMAR,Male,20,77,90,Biology,111,59.9,Leadership,Medical Knowledge,Baking,Menu Planning,No,No suitable match
ARSHDEEP SINGH KAINTH,Male,19,70,91,Biology,87,98.9,Attention to Detail,Critical Thinking,Music,Discipline,Yes,Doctor
PREETI,Male,18,95,98,Maths,101,70.3,Determination,Food Presentation,Teaching,Medical Knowledge,No,Teacher/Educator
MUNMUN DAS,Female,20,83,86,Maths,91,86.8,Team Management,Subject Knowledge,Team Management,Photography,Yes,Software Developer
GAGAN GABA,Male,17,81,82,Biology,81,70.5,Problem Solving,Physical Fitness,Curriculum Development,Music,No,Scientist/Researcher
ARPIT,Male,18,87,85,Maths,93,98.4,Patient Care,Subject Knowledge,Drawing,Baking,Yes,Teacher/Educator
EAK NARAYAN DHAKAL,Male,17,71,88,Maths,116,98.4,Sports Skills,Art,Menu Planning,Determination,Yes,Scientist/Researcher
HARPREET SINGH JAGAL,Male,17,89,84,Maths,126,65.0,Critical Thinking,Drawing,Team Management,Menu Planning,No,Software Developer
